id,Target
76961,Graduate
76962,Enrolled
76963,Graduate
76964,Enrolled
76965,Enrolled
76966,Enrolled
76967,Enrolled
76968,Graduate
76969,Enrolled
76970,Graduate
76971,Dropout
76972,Enrolled
76973,Dropout
76974,Graduate
76975,Graduate
76976,Enrolled
76977,Enrolled
76978,Graduate
76979,Graduate
76980,Graduate
76981,Graduate
76982,Enrolled
76983,Enrolled
76984,Dropout
76985,Dropout
76986,Graduate
76987,Graduate
76988,Graduate
76989,Dropout
76990,Graduate
76991,Graduate
76992,Graduate
76993,Graduate
76994,Enrolled
76995,Graduate
76996,Graduate
76997,Enrolled
76998,Graduate
76999,Enrolled
77000,Graduate
77001,Enrolled
77002,Graduate
77003,Graduate
77004,Graduate
77005,Graduate
77006,Enrolled
77007,Graduate
77008,Enrolled
77009,Graduate
77010,Graduate
77011,Graduate
77012,Enrolled
77013,Dropout
77014,Enrolled
77015,Enrolled
77016,Graduate
77017,Graduate
77018,Dropout
77019,Graduate
77020,Dropout
77021,Graduate
77022,Dropout
77023,Enrolled
77024,Graduate
77025,Graduate
77026,Graduate
77027,Enrolled
77028,Enrolled
77029,Dropout
77030,Graduate
77031,Graduate
77032,Graduate
77033,Enrolled
77034,Graduate
77035,Dropout
77036,Graduate
77037,Enrolled
77038,Graduate
77039,Graduate
77040,Graduate
77041,Enrolled
77042,Graduate
77043,Graduate
77044,Enrolled
77045,Enrolled
77046,Dropout
77047,Graduate
77048,Dropout
77049,Dropout
77050,Enrolled
77051,Enrolled
77052,Graduate
77053,Dropout
77054,Graduate
77055,Graduate
77056,Enrolled
77057,Graduate
77058,Graduate
77059,Enrolled
77060,Graduate
77061,Enrolled
77062,Graduate
77063,Graduate
77064,Enrolled
77065,Enrolled
77066,Enrolled
77067,Graduate
77068,Graduate
77069,Graduate
77070,Graduate
77071,Dropout
77072,Graduate
77073,Graduate
77074,Graduate
77075,Enrolled
77076,Graduate
77077,Dropout
77078,Enrolled
77079,Graduate
77080,Graduate
77081,Graduate
77082,Graduate
77083,Graduate
77084,Dropout
77085,Graduate
77086,Dropout
77087,Graduate
77088,Graduate
77089,Enrolled
77090,Graduate
77091,Dropout
77092,Dropout
77093,Graduate
77094,Graduate
77095,Graduate
77096,Enrolled
77097,Graduate
77098,Graduate
77099,Graduate
77100,Graduate
77101,Graduate
77102,Dropout
77103,Graduate
77104,Enrolled
77105,Graduate
77106,Enrolled
77107,Graduate
77108,Graduate
77109,Enrolled
77110,Graduate
77111,Graduate
77112,Graduate
77113,Graduate
77114,Graduate
77115,Graduate
77116,Graduate
77117,Graduate
77118,Graduate
77119,Graduate
77120,Graduate
77121,Graduate
77122,Enrolled
77123,Graduate
77124,Dropout
77125,Graduate
77126,Graduate
77127,Graduate
77128,Graduate
77129,Enrolled
77130,Dropout
77131,Dropout
77132,Graduate
77133,Dropout
77134,Graduate
77135,Graduate
77136,Dropout
77137,Graduate
77138,Enrolled
77139,Graduate
77140,Dropout
77141,Graduate
77142,Enrolled
77143,Graduate
77144,Enrolled
77145,Graduate
77146,Graduate
77147,Graduate
77148,Graduate
77149,Graduate
77150,Graduate
77151,Dropout
77152,Graduate
77153,Graduate
77154,Graduate
77155,Graduate
77156,Enrolled
77157,Enrolled
77158,Graduate
77159,Graduate
77160,Enrolled
77161,Graduate
77162,Enrolled
77163,Enrolled
77164,Graduate
77165,Graduate
77166,Graduate
77167,Graduate
77168,Graduate
77169,Enrolled
77170,Graduate
77171,Graduate
77172,Graduate
77173,Enrolled
77174,Dropout
77175,Dropout
77176,Enrolled
77177,Dropout
77178,Dropout
77179,Enrolled
77180,Graduate
77181,Dropout
77182,Graduate
77183,Graduate
77184,Graduate
77185,Graduate
77186,Graduate
77187,Dropout
77188,Graduate
77189,Dropout
77190,Dropout
77191,Enrolled
77192,Graduate
77193,Graduate
77194,Dropout
77195,Dropout
77196,Graduate
77197,Graduate
77198,Enrolled
77199,Graduate
77200,Enrolled
77201,Graduate
77202,Graduate
77203,Graduate
77204,Graduate
77205,Graduate
77206,Enrolled
77207,Graduate
77208,Enrolled
77209,Graduate
77210,Graduate
77211,Graduate
77212,Dropout
77213,Graduate
77214,Enrolled
77215,Graduate
77216,Enrolled
77217,Graduate
77218,Enrolled
77219,Graduate
77220,Enrolled
77221,Dropout
77222,Graduate
77223,Enrolled
77224,Graduate
77225,Graduate
77226,Graduate
77227,Graduate
77228,Graduate
77229,Enrolled
77230,Dropout
77231,Graduate
77232,Graduate
77233,Dropout
77234,Graduate
77235,Dropout
77236,Graduate
77237,Graduate
77238,Graduate
77239,Graduate
77240,Dropout
77241,Graduate
77242,Enrolled
77243,Graduate
77244,Graduate
77245,Graduate
77246,Enrolled
77247,Dropout
77248,Graduate
77249,Graduate
77250,Enrolled
77251,Graduate
77252,Dropout
77253,Graduate
77254,Enrolled
77255,Graduate
77256,Graduate
77257,Graduate
77258,Graduate
77259,Graduate
77260,Graduate
77261,Enrolled
77262,Graduate
77263,Enrolled
77264,Graduate
77265,Enrolled
77266,Enrolled
77267,Graduate
77268,Enrolled
77269,Graduate
77270,Graduate
77271,Graduate
77272,Graduate
77273,Graduate
77274,Graduate
77275,Graduate
77276,Graduate
77277,Graduate
77278,Graduate
77279,Graduate
77280,Graduate
77281,Enrolled
77282,Graduate
77283,Enrolled
77284,Dropout
77285,Graduate
77286,Enrolled
77287,Graduate
77288,Enrolled
77289,Graduate
77290,Dropout
77291,Graduate
77292,Graduate
77293,Graduate
77294,Graduate
77295,Enrolled
77296,Graduate
77297,Graduate
77298,Graduate
77299,Dropout
77300,Graduate
77301,Dropout
77302,Graduate
77303,Graduate
77304,Graduate
77305,Graduate
77306,Enrolled
77307,Enrolled
77308,Graduate
77309,Dropout
77310,Enrolled
77311,Graduate
77312,Graduate
77313,Enrolled
77314,Graduate
77315,Graduate
77316,Dropout
77317,Enrolled
77318,Graduate
77319,Graduate
77320,Graduate
77321,Graduate
77322,Graduate
77323,Graduate
77324,Graduate
77325,Dropout
77326,Dropout
77327,Enrolled
77328,Enrolled
77329,Dropout
77330,Graduate
77331,Graduate
77332,Enrolled
77333,Graduate
77334,Graduate
77335,Graduate
77336,Graduate
77337,Enrolled
77338,Enrolled
77339,Graduate
77340,Enrolled
77341,Dropout
77342,Graduate
77343,Enrolled
77344,Graduate
77345,Graduate
77346,Graduate
77347,Dropout
77348,Enrolled
77349,Graduate
77350,Graduate
77351,Dropout
77352,Graduate
77353,Enrolled
77354,Graduate
77355,Enrolled
77356,Graduate
77357,Graduate
77358,Enrolled
77359,Graduate
77360,Graduate
77361,Graduate
77362,Graduate
77363,Enrolled
77364,Graduate
77365,Dropout
77366,Graduate
77367,Enrolled
77368,Enrolled
77369,Graduate
77370,Graduate
77371,Graduate
77372,Graduate
77373,Enrolled
77374,Graduate
77375,Enrolled
77376,Graduate
77377,Graduate
77378,Graduate
77379,Graduate
77380,Graduate
77381,Enrolled
77382,Graduate
77383,Graduate
77384,Graduate
77385,Graduate
77386,Enrolled
77387,Enrolled
77388,Enrolled
77389,Graduate
77390,Graduate
77391,Graduate
77392,Dropout
77393,Graduate
77394,Graduate
77395,Dropout
77396,Graduate
77397,Graduate
77398,Graduate
77399,Graduate
77400,Graduate
77401,Dropout
77402,Graduate
77403,Enrolled
77404,Enrolled
77405,Enrolled
77406,Enrolled
77407,Enrolled
77408,Graduate
77409,Graduate
77410,Graduate
77411,Graduate
77412,Enrolled
77413,Dropout
77414,Graduate
77415,Enrolled
77416,Enrolled
77417,Dropout
77418,Graduate
77419,Graduate
77420,Graduate
77421,Dropout
77422,Graduate
77423,Graduate
77424,Graduate
77425,Graduate
77426,Dropout
77427,Graduate
77428,Enrolled
77429,Dropout
77430,Dropout
77431,Enrolled
77432,Enrolled
77433,Enrolled
77434,Enrolled
77435,Graduate
77436,Enrolled
77437,Dropout
77438,Graduate
77439,Graduate
77440,Graduate
77441,Enrolled
77442,Enrolled
77443,Graduate
77444,Graduate
77445,Enrolled
77446,Graduate
77447,Graduate
77448,Enrolled
77449,Graduate
77450,Dropout
77451,Graduate
77452,Graduate
77453,Graduate
77454,Enrolled
77455,Enrolled
77456,Graduate
77457,Graduate
77458,Enrolled
77459,Graduate
77460,Graduate
77461,Graduate
77462,Enrolled
77463,Enrolled
77464,Dropout
77465,Enrolled
77466,Graduate
77467,Graduate
77468,Dropout
77469,Graduate
77470,Graduate
77471,Enrolled
77472,Enrolled
77473,Graduate
77474,Graduate
77475,Enrolled
77476,Graduate
77477,Graduate
77478,Enrolled
77479,Enrolled
77480,Graduate
77481,Dropout
77482,Enrolled
77483,Enrolled
77484,Enrolled
77485,Graduate
77486,Enrolled
77487,Graduate
77488,Graduate
77489,Enrolled
77490,Graduate
77491,Graduate
77492,Enrolled
77493,Enrolled
77494,Graduate
77495,Graduate
77496,Graduate
77497,Dropout
77498,Graduate
77499,Graduate
77500,Graduate
77501,Graduate
77502,Graduate
77503,Enrolled
77504,Enrolled
77505,Graduate
77506,Enrolled
77507,Dropout
77508,Enrolled
77509,Dropout
77510,Enrolled
77511,Enrolled
77512,Graduate
77513,Enrolled
77514,Dropout
77515,Graduate
77516,Graduate
77517,Graduate
77518,Graduate
77519,Enrolled
77520,Graduate
77521,Enrolled
77522,Enrolled
77523,Graduate
77524,Graduate
77525,Dropout
77526,Enrolled
77527,Enrolled
77528,Enrolled
77529,Graduate
77530,Graduate
77531,Graduate
77532,Graduate
77533,Dropout
77534,Graduate
77535,Graduate
77536,Enrolled
77537,Enrolled
77538,Enrolled
77539,Graduate
77540,Enrolled
77541,Enrolled
77542,Graduate
77543,Graduate
77544,Graduate
77545,Graduate
77546,Dropout
77547,Enrolled
77548,Enrolled
77549,Graduate
77550,Graduate
77551,Enrolled
77552,Graduate
77553,Enrolled
77554,Enrolled
77555,Graduate
77556,Graduate
77557,Graduate
77558,Dropout
77559,Graduate
77560,Graduate
77561,Graduate
77562,Enrolled
77563,Graduate
77564,Dropout
77565,Enrolled
77566,Enrolled
77567,Enrolled
77568,Graduate
77569,Enrolled
77570,Dropout
77571,Graduate
77572,Graduate
77573,Enrolled
77574,Graduate
77575,Enrolled
77576,Graduate
77577,Enrolled
77578,Graduate
77579,Graduate
77580,Enrolled
77581,Graduate
77582,Graduate
77583,Enrolled
77584,Graduate
77585,Graduate
77586,Graduate
77587,Graduate
77588,Graduate
77589,Enrolled
77590,Graduate
77591,Graduate
77592,Graduate
77593,Graduate
77594,Graduate
77595,Dropout
77596,Graduate
77597,Graduate
77598,Enrolled
77599,Enrolled
77600,Graduate
77601,Graduate
77602,Graduate
77603,Graduate
77604,Graduate
77605,Enrolled
77606,Enrolled
77607,Graduate
77608,Graduate
77609,Enrolled
77610,Graduate
77611,Graduate
77612,Graduate
77613,Dropout
77614,Enrolled
77615,Graduate
77616,Graduate
77617,Graduate
77618,Enrolled
77619,Dropout
77620,Graduate
77621,Enrolled
77622,Graduate
77623,Graduate
77624,Graduate
77625,Graduate
77626,Dropout
77627,Graduate
77628,Enrolled
77629,Graduate
77630,Graduate
77631,Graduate
77632,Enrolled
77633,Enrolled
77634,Enrolled
77635,Enrolled
77636,Graduate
77637,Graduate
77638,Dropout
77639,Graduate
77640,Dropout
77641,Graduate
77642,Dropout
77643,Enrolled
77644,Enrolled
77645,Graduate
77646,Dropout
77647,Graduate
77648,Graduate
77649,Graduate
77650,Dropout
77651,Dropout
77652,Enrolled
77653,Enrolled
77654,Dropout
77655,Graduate
77656,Enrolled
77657,Enrolled
77658,Graduate
77659,Enrolled
77660,Dropout
77661,Enrolled
77662,Graduate
77663,Graduate
77664,Graduate
77665,Enrolled
77666,Enrolled
77667,Enrolled
77668,Graduate
77669,Graduate
77670,Graduate
77671,Dropout
77672,Graduate
77673,Enrolled
77674,Enrolled
77675,Graduate
77676,Graduate
77677,Graduate
77678,Dropout
77679,Graduate
77680,Dropout
77681,Enrolled
77682,Graduate
77683,Graduate
77684,Graduate
77685,Graduate
77686,Graduate
77687,Enrolled
77688,Enrolled
77689,Graduate
77690,Graduate
77691,Graduate
77692,Dropout
77693,Enrolled
77694,Enrolled
77695,Graduate
77696,Graduate
77697,Enrolled
77698,Enrolled
77699,Enrolled
77700,Enrolled
77701,Dropout
77702,Dropout
77703,Enrolled
77704,Enrolled
77705,Dropout
77706,Enrolled
77707,Enrolled
77708,Enrolled
77709,Dropout
77710,Graduate
77711,Enrolled
77712,Dropout
77713,Enrolled
77714,Graduate
77715,Graduate
77716,Dropout
77717,Enrolled
77718,Dropout
77719,Enrolled
77720,Graduate
77721,Graduate
77722,Graduate
77723,Graduate
77724,Dropout
77725,Enrolled
77726,Enrolled
77727,Enrolled
77728,Graduate
77729,Graduate
77730,Enrolled
77731,Enrolled
77732,Enrolled
77733,Graduate
77734,Graduate
77735,Graduate
77736,Dropout
77737,Dropout
77738,Graduate
77739,Dropout
77740,Graduate
77741,Graduate
77742,Graduate
77743,Enrolled
77744,Graduate
77745,Graduate
77746,Graduate
77747,Dropout
77748,Dropout
77749,Graduate
77750,Graduate
77751,Graduate
77752,Dropout
77753,Graduate
77754,Graduate
77755,Enrolled
77756,Graduate
77757,Dropout
77758,Graduate
77759,Graduate
77760,Graduate
77761,Graduate
77762,Graduate
77763,Graduate
77764,Graduate
77765,Graduate
77766,Dropout
77767,Dropout
77768,Graduate
77769,Graduate
77770,Graduate
77771,Dropout
77772,Enrolled
77773,Graduate
77774,Dropout
77775,Graduate
77776,Graduate
77777,Enrolled
77778,Graduate
77779,Enrolled
77780,Dropout
77781,Dropout
77782,Dropout
77783,Graduate
77784,Enrolled
77785,Enrolled
77786,Enrolled
77787,Graduate
77788,Enrolled
77789,Graduate
77790,Graduate
77791,Graduate
77792,Graduate
77793,Graduate
77794,Graduate
77795,Dropout
77796,Enrolled
77797,Enrolled
77798,Enrolled
77799,Enrolled
77800,Graduate
77801,Graduate
77802,Enrolled
77803,Dropout
77804,Graduate
77805,Enrolled
77806,Graduate
77807,Graduate
77808,Enrolled
77809,Graduate
77810,Graduate
77811,Graduate
77812,Graduate
77813,Graduate
77814,Graduate
77815,Graduate
77816,Graduate
77817,Enrolled
77818,Graduate
77819,Graduate
77820,Enrolled
77821,Graduate
77822,Enrolled
77823,Dropout
77824,Enrolled
77825,Graduate
77826,Enrolled
77827,Enrolled
77828,Graduate
77829,Graduate
77830,Graduate
77831,Enrolled
77832,Graduate
77833,Dropout
77834,Graduate
77835,Graduate
77836,Graduate
77837,Graduate
77838,Graduate
77839,Dropout
77840,Dropout
77841,Enrolled
77842,Graduate
77843,Enrolled
77844,Dropout
77845,Dropout
77846,Graduate
77847,Dropout
77848,Dropout
77849,Graduate
77850,Graduate
77851,Enrolled
77852,Enrolled
77853,Graduate
77854,Dropout
77855,Graduate
77856,Graduate
77857,Graduate
77858,Dropout
77859,Dropout
77860,Graduate
77861,Graduate
77862,Graduate
77863,Graduate
77864,Graduate
77865,Graduate
77866,Graduate
77867,Enrolled
77868,Enrolled
77869,Graduate
77870,Graduate
77871,Graduate
77872,Enrolled
77873,Graduate
77874,Graduate
77875,Graduate
77876,Graduate
77877,Dropout
77878,Enrolled
77879,Enrolled
77880,Dropout
77881,Graduate
77882,Graduate
77883,Graduate
77884,Graduate
77885,Graduate
77886,Graduate
77887,Graduate
77888,Graduate
77889,Graduate
77890,Graduate
77891,Graduate
77892,Dropout
77893,Dropout
77894,Graduate
77895,Enrolled
77896,Enrolled
77897,Dropout
77898,Graduate
77899,Graduate
77900,Graduate
77901,Graduate
77902,Graduate
77903,Enrolled
77904,Graduate
77905,Dropout
77906,Graduate
77907,Dropout
77908,Graduate
77909,Graduate
77910,Graduate
77911,Graduate
77912,Graduate
77913,Graduate
77914,Graduate
77915,Graduate
77916,Dropout
77917,Graduate
77918,Graduate
77919,Graduate
77920,Graduate
77921,Graduate
77922,Dropout
77923,Graduate
77924,Graduate
77925,Graduate
77926,Dropout
77927,Graduate
77928,Enrolled
77929,Graduate
77930,Graduate
77931,Enrolled
77932,Enrolled
77933,Enrolled
77934,Graduate
77935,Enrolled
77936,Dropout
77937,Enrolled
77938,Graduate
77939,Enrolled
77940,Enrolled
77941,Enrolled
77942,Graduate
77943,Graduate
77944,Graduate
77945,Graduate
77946,Dropout
77947,Graduate
77948,Enrolled
77949,Graduate
77950,Graduate
77951,Enrolled
77952,Dropout
77953,Graduate
77954,Graduate
77955,Graduate
77956,Graduate
77957,Graduate
77958,Enrolled
77959,Enrolled
77960,Graduate
77961,Graduate
77962,Graduate
77963,Graduate
77964,Graduate
77965,Graduate
77966,Dropout
77967,Enrolled
77968,Enrolled
77969,Dropout
77970,Graduate
77971,Dropout
77972,Graduate
77973,Enrolled
77974,Graduate
77975,Enrolled
77976,Enrolled
77977,Graduate
77978,Graduate
77979,Graduate
77980,Enrolled
77981,Graduate
77982,Graduate
77983,Graduate
77984,Graduate
77985,Dropout
77986,Graduate
77987,Graduate
77988,Enrolled
77989,Graduate
77990,Graduate
77991,Enrolled
77992,Graduate
77993,Graduate
77994,Graduate
77995,Graduate
77996,Graduate
77997,Graduate
77998,Enrolled
77999,Dropout
78000,Graduate
78001,Graduate
78002,Dropout
78003,Dropout
78004,Graduate
78005,Graduate
78006,Enrolled
78007,Enrolled
78008,Graduate
78009,Enrolled
78010,Dropout
78011,Graduate
78012,Dropout
78013,Graduate
78014,Graduate
78015,Graduate
78016,Graduate
78017,Dropout
78018,Enrolled
78019,Graduate
78020,Graduate
78021,Graduate
78022,Graduate
78023,Graduate
78024,Enrolled
78025,Graduate
78026,Enrolled
78027,Dropout
78028,Enrolled
78029,Graduate
78030,Dropout
78031,Graduate
78032,Graduate
78033,Graduate
78034,Graduate
78035,Graduate
78036,Enrolled
78037,Graduate
78038,Graduate
78039,Dropout
78040,Graduate
78041,Graduate
78042,Graduate
78043,Enrolled
78044,Graduate
78045,Enrolled
78046,Enrolled
78047,Graduate
78048,Enrolled
78049,Graduate
78050,Graduate
78051,Enrolled
78052,Dropout
78053,Graduate
78054,Graduate
78055,Enrolled
78056,Graduate
78057,Graduate
78058,Enrolled
78059,Graduate
78060,Enrolled
78061,Graduate
78062,Graduate
78063,Graduate
78064,Graduate
78065,Graduate
78066,Graduate
78067,Graduate
78068,Graduate
78069,Enrolled
78070,Graduate
78071,Graduate
78072,Enrolled
78073,Enrolled
78074,Enrolled
78075,Enrolled
78076,Enrolled
78077,Graduate
78078,Graduate
78079,Graduate
78080,Graduate
78081,Enrolled
78082,Enrolled
78083,Dropout
78084,Graduate
78085,Graduate
78086,Graduate
78087,Graduate
78088,Graduate
78089,Enrolled
78090,Dropout
78091,Graduate
78092,Graduate
78093,Graduate
78094,Dropout
78095,Enrolled
78096,Dropout
78097,Graduate
78098,Graduate
78099,Graduate
78100,Enrolled
78101,Enrolled
78102,Graduate
78103,Graduate
78104,Enrolled
78105,Graduate
78106,Enrolled
78107,Graduate
78108,Enrolled
78109,Graduate
78110,Dropout
78111,Graduate
78112,Graduate
78113,Enrolled
78114,Enrolled
78115,Enrolled
78116,Graduate
78117,Graduate
78118,Graduate
78119,Dropout
78120,Graduate
78121,Graduate
78122,Graduate
78123,Graduate
78124,Enrolled
78125,Graduate
78126,Enrolled
78127,Dropout
78128,Graduate
78129,Enrolled
78130,Graduate
78131,Enrolled
78132,Graduate
78133,Graduate
78134,Enrolled
78135,Graduate
78136,Dropout
78137,Dropout
78138,Enrolled
78139,Graduate
78140,Graduate
78141,Dropout
78142,Graduate
78143,Graduate
78144,Enrolled
78145,Dropout
78146,Graduate
78147,Enrolled
78148,Graduate
78149,Graduate
78150,Graduate
78151,Dropout
78152,Graduate
78153,Graduate
78154,Graduate
78155,Graduate
78156,Graduate
78157,Graduate
78158,Enrolled
78159,Enrolled
78160,Graduate
78161,Dropout
78162,Graduate
78163,Graduate
78164,Enrolled
78165,Graduate
78166,Graduate
78167,Graduate
78168,Graduate
78169,Enrolled
78170,Graduate
78171,Dropout
78172,Enrolled
78173,Dropout
78174,Enrolled
78175,Graduate
78176,Dropout
78177,Enrolled
78178,Enrolled
78179,Graduate
78180,Graduate
78181,Graduate
78182,Graduate
78183,Enrolled
78184,Dropout
78185,Graduate
78186,Graduate
78187,Dropout
78188,Enrolled
78189,Graduate
78190,Graduate
78191,Graduate
78192,Graduate
78193,Enrolled
78194,Enrolled
78195,Graduate
78196,Enrolled
78197,Graduate
78198,Dropout
78199,Graduate
78200,Graduate
78201,Enrolled
78202,Graduate
78203,Graduate
78204,Graduate
78205,Enrolled
78206,Graduate
